0,0,1,0
1,0,1,3
2,1,1,2
3,1,0,1
4,3,2,0
5,3,1,3
6,3,0,0
7,2,3,2
8,1,2,0
9,3,3,2
10,1,2,2
11,2,0,2
12,1,0,3
13,0,0,1
14,3,0,1
15,2,0,3
16,1,0,0
17,2,0,0
18,0,3,2
19,1,1,1
20,3,0,3
21,2,2,3
22,2,1,3
23,0,2,3
24,1,3,2
25,1,2,1
26,1,3,0
27,2,1,1
28,0,3,0
29,0,2,0
30,2,2,2
31,1,3,3
32,2,2,0
33,1,2,3
34,0,2,2
35,0,3,1
36,3,2,2
37,0,1,2
38,2,1,0
39,2,3,0
40,1,3,1
41,3,0,2
42,3,3,3
43,0,0,0
44,2,3,3
45,0,0,3
46,1,0,2
47,2,2,1
48,3,3,0
49,3,1,0
50,3,3,1
51,2,3,1
52,0,2,1
53,2,0,1
54,3,2,1
55,1,1,3
56,0,0,2
57,0,1,1
58,3,1,1
59,3,1,2
60,1,1,0
61,3,2,3
62,2,1,2
63,0,3,3
