0,29
0,60
0,43
0,0
1,45
1,55
1,1
1,23
2,10
2,37
2,46
2,2
2,62
3,19
3,53
3,3
3,13
4,32
4,48
4,49
4,4
5,5
5,36
5,20
5,22
5,41
5,59
5,61
5,62
6,17
6,6
6,49
7,24
7,7
7,9
7,30
8,29
8,32
8,60
8,26
8,8
9,36
9,7
9,9
10,10
10,30
10,24
10,2
10,34
11,41
11,11
11,46
11,62
12,45
12,55
12,12
12,15
13,57
13,3
13,13
14,14
14,53
14,58
15,22
15,20
15,12
15,15
16,17
16,60
16,43
16,16
17,17
17,6
17,38
17,16
18,18
18,24
18,34
19,19
19,27
19,25
19,57
19,3
20,5
20,20
20,15
21,22
21,33
21,21
21,61
21,44
22,5
22,22
22,55
22,21
22,15
23,23
23,1
23,63
23,33
24,10
24,18
24,24
24,7
25,19
25,52
25,25
25,47
25,40
26,8
26,39
26,26
26,28
27,19
27,27
27,47
27,53
27,58
28,18
28,34
28,24
28,29
28,26
28,28
29,0
29,29
29,8
29,28
30,10
30,36
30,7
30,62
30,30
31,31
31,33
31,63
31,44
32,8
32,32
32,38
32,39
32,4
33,31
33,55
33,33
33,21
33,23
34,37
34,10
34,18
34,34
35,31
35,35
35,52
35,23
35,63
35,40
36,36
36,59
36,9
36,30
37,37
37,56
37,2
37,34
38,17
38,32
38,38
38,60
38,49
39,32
39,48
39,39
39,26
40,51
40,25
40,35
40,40
41,41
41,11
41,59
42,42
42,61
42,44
43,0
43,43
43,16
44,31
44,42
44,21
44,44
45,45
45,1
45,12
46,11
46,46
46,56
46,2
47,51
47,27
47,47
47,25
47,54
48,48
48,39
48,4
49,6
49,38
49,49
49,4
50,51
50,50
50,54
51,51
51,50
51,47
51,40
52,52
52,57
52,35
52,25
53,27
53,14
53,53
53,3
54,50
54,47
54,54
54,58
55,22
55,55
55,33
55,1
55,12
56,37
56,46
56,56
57,19
57,52
57,57
57,13
58,49
58,4
58,6
58,54
58,38
58,27
58,14
58,58
59,41
59,36
59,59
59,62
60,8
60,38
60,60
60,0
60,16
61,5
61,42
61,21
61,61
62,11
62,59
62,2
62,62
62,30
63,31
63,23
63,63
